,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,F = Fall
V ,,,,,,B = Break
Normal,,,,,,"NBNF = No Break, no fall"
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,B,B,B,B,B,
8,B,B,B,B,B,
9,B,B,B,B,B,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
Strong,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,B,B,B,B,B,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,B,B,B,B,B,
9,B,B,B,B,B,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
Weak,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,B,B,B,B,B,
8,B,B,B,B,B,
9,B,B,B,B,B,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
V + H,,,,,,
Normal,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
Strong,,,,,,
1,F,F,F,F,F,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,F,F,F,F,F,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,B,B,B,B,B,
Weak,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
H,,,,,,
Normal,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
Strong,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,B,B,B,B,B,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
Weak,,,,,,
1,NBNF,NBNF,NBNF,NBNF,NBNF,
2,NBNF,NBNF,NBNF,NBNF,NBNF,
3,NBNF,NBNF,NBNF,NBNF,NBNF,
4,NBNF,NBNF,NBNF,NBNF,NBNF,
5,NBNF,NBNF,NBNF,NBNF,NBNF,
6,NBNF,NBNF,NBNF,NBNF,NBNF,
7,NBNF,NBNF,NBNF,NBNF,NBNF,
8,NBNF,NBNF,NBNF,NBNF,NBNF,
9,NBNF,NBNF,NBNF,NBNF,NBNF,
10,NBNF,NBNF,NBNF,NBNF,NBNF,
11,NBNF,NBNF,NBNF,NBNF,NBNF,
12,NBNF,NBNF,NBNF,NBNF,NBNF,
13,NBNF,NBNF,NBNF,NBNF,NBNF,
14,NBNF,NBNF,NBNF,NBNF,NBNF,
15,NBNF,NBNF,NBNF,NBNF,NBNF,
